rank,lemma,subtitle_count,band,n_forms_seen
738,červený,5692,2,11
739,aut,5683,2,3
740,blázon,5674,2,3
741,očakávať,5631,2,17
742,právnik,5628,2,7
743,jednotka,5627,2,8
744,svedok,5622,2,7
745,ha,5606,2,1
746,stanica,5592,2,7
747,hudba,5585,2,5
748,zastreliť,5564,2,15
749,vytvoriť,5548,2,12
750,tretí,5547,2,9
751,stav,5542,2,5
752,hotel,5542,2,8
753,droga,5526,2,8
754,rovno,5508,2,1
755,názor,5503,2,7
756,dolu,5490,2,1
757,zobudiť,5485,2,15
758,výborne,5471,2,1
759,záujem,5469,2,7
760,vzduch,5460,2,3
761,prst,5449,2,9
762,poriadne,5447,2,1
763,prijať,5429,2,17
764,staviť,5427,2,10
765,zmena,5426,2,9
766,ta,5425,2,1
767,strašne,5411,2,1
768,zvyšok,5391,2,5
769,schopnosť,5391,2,9
770,známy,5359,2,16
771,náhodou,5339,2,1
772,joe,5332,2,1
773,rozhodnutie,5332,2,7
774,dôjsť,5327,2,12
775,bar,5319,2,7
776,vláda,5312,2,6
777,minulosť,5310,2,3
778,pokúšať,5306,2,15
779,nehoda,5301,2,6
780,rozkaz,5300,2,6
781,tisíc,5284,2,5
782,ľahký,5278,2,8
783,skurvený,5277,2,11
784,upokojiť,5269,2,8
785,udržať,5268,2,16
786,detektív,5266,2,8
787,mobil,5258,2,6
788,napríklad,5253,2,1
789,čert,5248,2,4
790,obed,5234,2,6
791,manželka,5219,2,6
792,chrbát,5205,2,4
793,otvorený,5204,2,12
794,skúšať,5201,2,16
795,troška,5187,2,3
796,myšlienka,5183,2,9
797,strýko,5181,2,6
798,rýchle,5179,2,3
799,rande,5176,2,1
800,pozvať,5173,2,14
801,vytiahnuť,5147,2,13
802,účet,5124,2,8
803,nažive,5096,2,1
804,rozhovor,5093,2,7
805,ohľad,5082,2,5
806,peter,5075,2,4
807,energia,5057,2,5
808,osobný,5033,2,11
809,vracať,5032,2,13
810,chvíľka,5029,2,4
811,chrániť,5028,2,12
812,stena,5001,2,8
813,štát,4998,2,8
814,priznať,4976,2,14
815,smer,4975,2,6
816,slnko,4973,2,4
817,malá,4967,2,3
818,americký,4967,2,12
819,umrieť,4964,2,16
820,pivo,4961,2,6
821,sračka,4945,2,9
822,operácia,4916,2,7
823,trocha,4913,2,3
824,vydať,4905,2,16
825,mimochodom,4893,2,1
826,pomaly,4884,2,2
827,zlo,4874,2,4
828,milý,4869,2,9
829,brána,4865,2,7
830,karta,4857,2,8
831,strom,4853,2,8
832,snáď,4848,2,1
833,hovno,4829,2,6
834,tajný,4824,2,11
835,správať,4813,2,13
836,navždy,4810,2,1
837,partner,4805,2,7
838,frank,4797,2,4
839,trieda,4795,2,6
840,otočiť,4793,2,12
841,priať,4792,2,11
842,výber,4776,2,5
843,pohľad,4771,2,6
844,bomba,4763,2,7
845,zabíjať,4760,2,15
846,spievať,4759,2,12
847,topánka,4757,2,8
848,oheň,4753,2,6
849,končiť,4750,2,11
850,zjesť,4730,2,16
851,polovica,4719,2,5
852,čin,4718,2,8
853,keďže,4714,2,1
854,preboha,4706,2,1
855,otvor,4699,2,3
856,plakať,4697,2,14
857,odpustiť,4680,2,16
858,dýchať,4675,2,12
859,oblasť,4664,2,5
860,hrdina,4661,2,7
861,súčasť,4656,2,2
862,ľahko,4653,2,3
863,podať,4651,2,11
864,ujsť,4650,2,11
865,doniesť,4633,2,13
866,perfektný,4625,2,9
867,vták,4619,2,9
868,vek,4616,2,4
869,zápas,4615,2,7
870,klub,4613,2,7
871,preklad,4608,2,3
872,program,4598,2,6
873,veliteľ,4584,2,6
874,tona,4583,2,5
875,starostiť,4576,2,1
876,henry,4575,2,4
877,rozhodne,4570,2,2
878,miláčik,4566,2,4
879,škoda,4566,2,4
880,bastard,4560,2,6
881,strašný,4549,2,11
882,vojsť,4543,2,14
883,unavený,4542,2,4
884,chuť,4542,2,6
885,sarah,4539,2,1
886,skočiť,4507,2,14
887,amerika,4504,2,5
888,wow,4499,2,1
889,zblázniť,4493,2,11
890,ked,4486,2,1
891,firma,4484,2,6
892,les,4482,2,7
893,dotknúť,4477,2,18
894,nádej,4464,2,5
895,bod,4459,2,7
896,zdvihnúť,4455,2,15
897,ktokoľvek,4443,2,4
898,hlavne,4433,2,1
899,spadnúť,4430,2,13
900,kus,4421,2,6
901,počítač,4420,2,9
902,člen,4411,2,7
903,papier,4410,2,8
904,odkaz,4401,2,7
905,stoj,4398,2,3
906,kričať,4395,2,14
907,udrieť,4394,2,13
908,tancovať,4392,2,13
909,príjemný,4391,2,10
910,krk,4388,2,5
911,park,4379,2,6
912,tvrdý,4378,2,10
913,zrazu,4371,2,1
914,kontakt,4370,2,6
915,drahý,4368,2,7
916,obľúbený,4367,2,12
917,prekliaty,4363,2,10
918,typ,4362,2,6
919,ústa,4362,2,4
920,paul,4348,2,4
921,mena,4340,2,6
922,meniť,4340,2,12
923,poručík,4339,2,4
924,mike,4334,2,1
925,rozdiel,4322,2,5
926,vymyslieť,4315,2,13
927,zločin,4309,2,7
928,podozrivý,4295,2,10
929,darček,4291,2,6
930,biť,4284,2,13
931,budiť,4282,2,6
932,rana,4276,2,6
933,výsledok,4272,2,7
934,prečítať,4260,2,12
935,uistiť,4256,2,9
936,krásne,4246,2,1
937,zub,4243,2,7
938,mnoho,4230,2,1
939,ježiš,4223,2,5
940,ponúknuť,4221,2,13
941,zbohom,4215,2,1
942,meškať,4211,2,11
943,akcia,4202,2,8
944,osud,4197,2,5
945,david,4183,2,4
946,cit,4181,2,7
947,misia,4180,2,6
948,vesmír,4178,2,6
949,diera,4172,2,6
950,dohodnúť,4172,2,12
951,plánovať,4170,2,15
952,smutný,4162,2,8
953,živý,4149,2,9
954,zvyknúť,4147,2,15
955,podpísať,4147,2,14
956,smiať,4146,2,15
957,adresa,4138,2,6
958,akýkoľvek,4126,2,11
959,normálne,4123,2,2
960,vedľa,4122,2,1
961,podobný,4119,2,11
962,zrejme,4116,2,1
963,george,4115,2,4
964,narodiť,4106,2,9
965,úprimný,4099,2,5
966,vianoce,4094,2,4
967,preložiť,4094,2,6
968,pohnúť,4092,2,18
969,kľud,4090,2,4
970,reč,4079,2,6
971,presvedčiť,4072,2,14
972,dnešný,4069,2,12
973,dariť,4069,2,5
974,príležitosť,4066,2,5
975,generál,4063,2,6
976,nabudúce,4057,2,1
977,hladný,4054,2,5
978,užiť,4053,2,13
979,anna,4048,2,5
980,kameň,4045,2,8
981,hranica,4043,2,9
982,signál,4039,2,5
983,vtipný,4032,2,3
984,tvrdiť,4029,2,10
985,smiešne,4028,2,1
986,zdroj,4028,2,9
987,blízky,4023,2,12
988,dosiahnuť,4023,2,17
989,pohniť,4021,2,5
990,policajný,4015,2,11
991,namiesto,4014,2,1
992,stredný,4005,2,8
993,navštíviť,4005,2,10
994,prechádzať,3983,2,10
995,letieť,3973,2,12
996,osobne,3971,2,1
997,podstata,3962,2,5
998,prekvapenie,3959,2,3
999,pieseň,3954,2,5
1000,let,3953,2,5
1001,ryba,3952,3,8
1002,vypočuť,3950,3,12
